timestamp,strategy,signal,price,notes
2025-08-10T13:33:17.714832,RSI-14,hold,118174.12,RSI:62.425048439654844
2025-08-10T13:46:28.830187,RSI-14,hold,118237.83,RSI:63.63233598929611
